Month,Day,Hour,Trips
9,Thursday,15,8887
9,Thursday,16,10196
9,Thursday,17,11302
9,Thursday,18,11738
9,Thursday,19,10958
9,Thursday,20,10076
9,Thursday,21,9820
9,Thursday,22,7885
9,Thursday,23,5164
9,Tuesday,0,1411
9,Tuesday,1,784
9,Tuesday,2,609
9,Tuesday,3,1221
9,Tuesday,4,2093
9,Tuesday,5,4196
9,Tuesday,6,7393
9,Tuesday,7,9466
9,Tuesday,8,9374
9,Tuesday,9,7082
9,Tuesday,10,6517
9,Tuesday,11,6071
9,Tuesday,12,5987
9,Tuesday,13,7079
9,Tuesday,14,8374
9,Tuesday,15,9935
9,Tuesday,16,11108
9,Tuesday,17,12369
9,Tuesday,18,12184
9,Tuesday,19,11091
9,Tuesday,20,10370
9,Tuesday,21,9022
9,Tuesday,22,6538
9,Tuesday,23,2956
9,Wednesday,0,1489
9,Wednesday,1,885
9,Wednesday,2,597
9,Wednesday,3,966
9,Wednesday,4,1612
9,Wednesday,5,3130
9,Wednesday,6,5699
9,Wednesday,7,7067
9,Wednesday,8,6665
9,Wednesday,9,5356
9,Wednesday,10,4929
9,Wednesday,11,5027
9,Wednesday,12,5011
9,Wednesday,13,5833
9,Wednesday,14,6867
9,Wednesday,15,8331
9,Wednesday,16,9451
9,Wednesday,17,10294
9,Wednesday,18,10250
9,Wednesday,19,9268
9,Wednesday,20,9108
9,Wednesday,21,7951
9,Wednesday,22,6179
9,Wednesday,23,3408
